11:15:2020-18:50:41,no-mask,storage/no-mask/11:15:2020-18:50:41.png
11:15:2020-18:50:44,no-mask,storage/no-mask/11:15:2020-18:50:44.png
11:15:2020-18:50:47,no-mask,storage/no-mask/11:15:2020-18:50:47.png
11:15:2020-19:21:38,no-mask,storage/no-mask/11:15:2020-19:21:38.png
11:15:2020-19:25:29,no-mask,storage/no-mask/11:15:2020-19:25:29.png
11:15:2020-19:25:32,no-mask,storage/no-mask/11:15:2020-19:25:32.png
11:15:2020-19:25:35,mask,storage/mask/11:15:2020-19:25:35.png
11:15:2020-19:25:38,mask,storage/mask/11:15:2020-19:25:38.png
11:15:2020-19:25:42,no-mask,storage/no-mask/11:15:2020-19:25:42.png
11:19:2020-19:06:03,no-mask,storage/no-mask/11:19:2020-19:06:03.png
11:19:2020-19:06:13,mask,storage/mask/11:19:2020-19:06:13.png
11:19:2020-19:06:17,mask,storage/mask/11:19:2020-19:06:17.png
11:19:2020-19:07:44,no-mask,storage/no-mask/11:19:2020-19:07:44.png
11:19:2020-19:07:49,no-mask,storage/no-mask/11:19:2020-19:07:49.png
11:19:2020-19:07:55,mask,storage/mask/11:19:2020-19:07:55.png
